date,state,total
20/8/2019,Johor,76
21/8/2019,Johor,75
22/8/2019,Johor,74
23/8/2019,Johor,39
24/8/2019,Johor,23
25/8/2019,Johor,40
26/8/2019,Johor,51
27/8/2019,Johor,55
28/8/2019,Johor,90
29/8/2019,Johor,118
30/8/2019,Johor,44
31/8/2019,Johor,12
1/9/2019,Johor,13
2/9/2019,Johor,62
3/9/2019,Johor,73
4/9/2019,Johor,105
5/9/2019,Johor,147
6/9/2019,Johor,95
7/9/2019,Johor,56
8/9/2019,Johor,50
9/9/2019,Johor,31
10/9/2019,Johor,119
11/9/2019,Johor,88
12/9/2019,Johor,76
13/9/2019,Johor,48
14/9/2019,Johor,40
15/9/2019,Johor,28
16/9/2019,Johor,40
17/9/2019,Johor,87
18/9/2019,Johor,129
19/9/2019,Johor,99
20/9/2019,Johor,72
21/9/2019,Johor,19
22/9/2019,Johor,51
23/9/2019,Johor,55
24/9/2019,Johor,73
25/9/2019,Johor,108
26/9/2019,Johor,95
27/9/2019,Johor,58
28/9/2019,Johor,25
29/9/2019,Johor,87
30/9/2019,Johor,118
1/10/2019,Johor,120
2/10/2019,Johor,197
3/10/2019,Johor,171
4/10/2019,Johor,53
5/10/2019,Johor,44
6/10/2019,Johor,44
7/10/2019,Johor,167
8/10/2019,Johor,183
9/10/2019,Johor,217
10/10/2019,Johor,124
11/10/2019,Johor,63
12/10/2019,Johor,29
13/10/2019,Johor,100
14/10/2019,Johor,140
15/10/2019,Johor,132
16/10/2019,Johor,314
17/10/2019,Johor,141
18/10/2019,Johor,70
19/10/2019,Johor,86
20/10/2019,Johor,53
21/10/2019,Johor,191
22/10/2019,Johor,161
23/10/2019,Johor,228
24/10/2019,Johor,140
25/10/2019,Johor,34
26/10/2019,Johor,33
27/10/2019,Johor,19
28/10/2019,Johor,34
29/10/2019,Johor,171
30/10/2019,Johor,195
31/10/2019,Johor,82
1/11/2019,Johor,39
2/11/2019,Johor,68
3/11/2019,Johor,27
4/11/2019,Johor,157
5/11/2019,Johor,189
6/11/2019,Johor,216
7/11/2019,Johor,129
8/11/2019,Johor,49
9/11/2019,Johor,17
10/11/2019,Johor,111
11/11/2019,Johor,161
12/11/2019,Johor,166
13/11/2019,Johor,182
14/11/2019,Johor,135
15/11/2019,Johor,48
16/11/2019,Johor,67
17/11/2019,Johor,187
18/11/2019,Johor,190
19/11/2019,Johor,185
20/11/2019,Johor,242
21/11/2019,Johor,102
22/11/2019,Johor,31
23/11/2019,Johor,84
24/11/2019,Johor,88
25/11/2019,Johor,146
26/11/2019,Johor,189
27/11/2019,Johor,242
28/11/2019,Johor,153
29/11/2019,Johor,41
30/11/2019,Johor,22
1/12/2019,Johor,68
2/12/2019,Johor,176
3/12/2019,Johor,265
4/12/2019,Johor,248
5/12/2019,Johor,108
6/12/2019,Johor,50
7/12/2019,Johor,39
8/12/2019,Johor,82
9/12/2019,Johor,188
10/12/2019,Johor,245
11/12/2019,Johor,276
12/12/2019,Johor,154
13/12/2019,Johor,45
14/12/2019,Johor,50
15/12/2019,Johor,96
16/12/2019,Johor,186
17/12/2019,Johor,287
18/12/2019,Johor,246
19/12/2019,Johor,153
20/12/2019,Johor,61
21/12/2019,Johor,32
22/12/2019,Johor,97
23/12/2019,Johor,200
24/12/2019,Johor,263
25/12/2019,Johor,12
26/12/2019,Johor,135
27/12/2019,Johor,39
28/12/2019,Johor,21
29/12/2019,Johor,106
30/12/2019,Johor,204
31/12/2019,Johor,177
1/1/2020,Johor,134
2/1/2020,Johor,117
3/1/2020,Johor,26
4/1/2020,Johor,70
5/1/2020,Johor,73
6/1/2020,Johor,227
7/1/2020,Johor,264
8/1/2020,Johor,287
9/1/2020,Johor,250
10/1/2020,Johor,25
11/1/2020,Johor,43
12/1/2020,Johor,82
13/1/2020,Johor,222
14/1/2020,Johor,219
15/1/2020,Johor,265
16/1/2020,Johor,124
17/1/2020,Johor,32
18/1/2020,Johor,12
19/1/2020,Johor,100
20/1/2020,Johor,189
21/1/2020,Johor,227
22/1/2020,Johor,276
23/1/2020,Johor,82
24/1/2020,Johor,33
25/1/2020,Johor,12
26/1/2020,Johor,1
27/1/2020,Johor,63
28/1/2020,Johor,177
29/1/2020,Johor,195
30/1/2020,Johor,105
31/1/2020,Johor,67
1/2/2020,Johor,11
2/2/2020,Johor,125
3/2/2020,Johor,212
4/2/2020,Johor,182
5/2/2020,Johor,224
6/2/2020,Johor,113
7/2/2020,Johor,48
8/2/2020,Johor,28
9/2/2020,Johor,131
10/2/2020,Johor,197
11/2/2020,Johor,182
12/2/2020,Johor,203
13/2/2020,Johor,121
14/2/2020,Johor,57
15/2/2020,Johor,47
16/2/2020,Johor,116
17/2/2020,Johor,208
18/2/2020,Johor,165
19/2/2020,Johor,283
20/2/2020,Johor,133
21/2/2020,Johor,98
22/2/2020,Johor,56
23/2/2020,Johor,172
24/2/2020,Johor,192
25/2/2020,Johor,274
26/2/2020,Johor,244
27/2/2020,Johor,317
28/2/2020,Johor,78
29/2/2020,Johor,74
1/3/2020,Johor,71
2/3/2020,Johor,303
3/3/2020,Johor,222
4/3/2020,Johor,231
5/3/2020,Johor,99
6/3/2020,Johor,47
7/3/2020,Johor,30
8/3/2020,Johor,74
9/3/2020,Johor,162
10/3/2020,Johor,169
11/3/2020,Johor,192
12/3/2020,Johor,115
13/3/2020,Johor,57
14/3/2020,Johor,28
15/3/2020,Johor,79
16/3/2020,Johor,119
17/3/2020,Johor,183
18/3/2020,Johor,147
19/3/2020,Johor,70
20/3/2020,Johor,7
21/3/2020,Johor,3
22/3/2020,Johor,14
23/3/2020,Johor,0
24/3/2020,Johor,37
25/3/2020,Johor,22
26/3/2020,Johor,8
27/3/2020,Johor,1
28/3/2020,Johor,2
29/3/2020,Johor,1
30/3/2020,Johor,6
31/3/2020,Johor,9
1/4/2020,Johor,17
2/4/2020,Johor,7
3/4/2020,Johor,1
4/4/2020,Johor,1
5/4/2020,Johor,5
6/4/2020,Johor,12
7/4/2020,Johor,15
8/4/2020,Johor,7
9/4/2020,Johor,11
10/4/2020,Johor,6
11/4/2020,Johor,2
12/4/2020,Johor,9
13/4/2020,Johor,9
14/4/2020,Johor,14
15/4/2020,Johor,14
16/4/2020,Johor,7
17/4/2020,Johor,2
18/4/2020,Johor,2
19/4/2020,Johor,10
20/4/2020,Johor,17
21/4/2020,Johor,13
22/4/2020,Johor,15
23/4/2020,Johor,6
24/4/2020,Johor,3
25/4/2020,Johor,4
26/4/2020,Johor,3
27/4/2020,Johor,14
28/4/2020,Johor,18
29/4/2020,Johor,14
30/4/2020,Johor,8
1/5/2020,Johor,9
2/5/2020,Johor,5
3/5/2020,Johor,1
4/5/2020,Johor,19
5/5/2020,Johor,15
6/5/2020,Johor,17
7/5/2020,Johor,4
8/5/2020,Johor,14
9/5/2020,Johor,17
10/5/2020,Johor,11
11/5/2020,Johor,17
12/5/2020,Johor,18
13/5/2020,Johor,14
14/5/2020,Johor,13
15/5/2020,Johor,8
16/5/2020,Johor,5
17/5/2020,Johor,18
18/5/2020,Johor,21
19/5/2020,Johor,20
20/5/2020,Johor,14
21/5/2020,Johor,22
22/5/2020,Johor,7
23/5/2020,Johor,2
24/5/2020,Johor,0
25/5/2020,Johor,0
26/5/2020,Johor,4
27/5/2020,Johor,21
28/5/2020,Johor,8
29/5/2020,Johor,6
30/5/2020,Johor,4
31/5/2020,Johor,14
1/6/2020,Johor,32
2/6/2020,Johor,13
3/6/2020,Johor,28
4/6/2020,Johor,15
5/6/2020,Johor,10
6/6/2020,Johor,6
7/6/2020,Johor,17
8/6/2020,Johor,6
9/6/2020,Johor,27
10/6/2020,Johor,51
11/6/2020,Johor,22
12/6/2020,Johor,19
13/6/2020,Johor,6
14/6/2020,Johor,14
15/6/2020,Johor,41
16/6/2020,Johor,51
17/6/2020,Johor,49
18/6/2020,Johor,28
19/6/2020,Johor,12
20/6/2020,Johor,6
21/6/2020,Johor,23
22/6/2020,Johor,51
23/6/2020,Johor,45
24/6/2020,Johor,50
25/6/2020,Johor,34
26/6/2020,Johor,7
27/6/2020,Johor,4
28/6/2020,Johor,26
29/6/2020,Johor,81
30/6/2020,Johor,70
1/7/2020,Johor,85
2/7/2020,Johor,51
3/7/2020,Johor,18
4/7/2020,Johor,8
5/7/2020,Johor,42
6/7/2020,Johor,71
7/7/2020,Johor,75
8/7/2020,Johor,63
9/7/2020,Johor,39
10/7/2020,Johor,9
11/7/2020,Johor,10
12/7/2020,Johor,33
13/7/2020,Johor,67
14/7/2020,Johor,99
15/7/2020,Johor,75
16/7/2020,Johor,53
17/7/2020,Johor,17
18/7/2020,Johor,11
19/7/2020,Johor,50
20/7/2020,Johor,95
21/7/2020,Johor,68
22/7/2020,Johor,122
23/7/2020,Johor,54
24/7/2020,Johor,8
25/7/2020,Johor,14
26/7/2020,Johor,54
27/7/2020,Johor,95
28/7/2020,Johor,60
29/7/2020,Johor,73
30/7/2020,Johor,38
31/7/2020,Johor,3
1/8/2020,Johor,4
2/8/2020,Johor,8
3/8/2020,Johor,51
4/8/2020,Johor,48
5/8/2020,Johor,92
6/8/2020,Johor,65
7/8/2020,Johor,22
8/8/2020,Johor,29
9/8/2020,Johor,42
10/8/2020,Johor,124
11/8/2020,Johor,83
12/8/2020,Johor,90
13/8/2020,Johor,81
14/8/2020,Johor,10
15/8/2020,Johor,38
16/8/2020,Johor,86
17/8/2020,Johor,122
18/8/2020,Johor,70
19/8/2020,Johor,93
20/8/2020,Johor,5
21/8/2020,Johor,11
22/8/2020,Johor,24
23/8/2020,Johor,45
24/8/2020,Johor,106
25/8/2020,Johor,102
26/8/2020,Johor,69
27/8/2020,Johor,60
28/8/2020,Johor,11
29/8/2020,Johor,30
30/8/2020,Johor,29
31/8/2020,Johor,1
1/9/2020,Johor,114
2/9/2020,Johor,70
3/9/2020,Johor,48
4/9/2020,Johor,34
5/9/2020,Johor,43
6/9/2020,Johor,128
7/9/2020,Johor,109
8/9/2020,Johor,61
9/9/2020,Johor,60
10/9/2020,Johor,57
11/9/2020,Johor,25
12/9/2020,Johor,23
13/9/2020,Johor,50
14/9/2020,Johor,78
15/9/2020,Johor,73
16/9/2020,Johor,39
17/9/2020,Johor,47
18/9/2020,Johor,27
19/9/2020,Johor,7
20/9/2020,Johor,47
21/9/2020,Johor,97
22/9/2020,Johor,86
23/9/2020,Johor,81
24/9/2020,Johor,29
25/9/2020,Johor,8
26/9/2020,Johor,9
27/9/2020,Johor,56
28/9/2020,Johor,96
29/9/2020,Johor,58
30/9/2020,Johor,67
1/10/2020,Johor,48
2/10/2020,Johor,43
3/10/2020,Johor,9
4/10/2020,Johor,59
5/10/2020,Johor,99
6/10/2020,Johor,62
7/10/2020,Johor,69
8/10/2020,Johor,40
9/10/2020,Johor,27
10/10/2020,Johor,16
11/10/2020,Johor,47
12/10/2020,Johor,84
13/10/2020,Johor,69
14/10/2020,Johor,49
15/10/2020,Johor,47
16/10/2020,Johor,12
17/10/2020,Johor,27
18/10/2020,Johor,35
19/10/2020,Johor,84
20/10/2020,Johor,77
21/10/2020,Johor,83
22/10/2020,Johor,49
23/10/2020,Johor,28
24/10/2020,Johor,12
25/10/2020,Johor,77
26/10/2020,Johor,64
27/10/2020,Johor,58
28/10/2020,Johor,55
29/10/2020,Johor,9
30/10/2020,Johor,6
31/10/2020,Johor,9
1/11/2020,Johor,71
2/11/2020,Johor,88
3/11/2020,Johor,82
4/11/2020,Johor,46
5/11/2020,Johor,66
6/11/2020,Johor,6
7/11/2020,Johor,20
8/11/2020,Johor,49
9/11/2020,Johor,63
10/11/2020,Johor,80
11/11/2020,Johor,44
12/11/2020,Johor,38
13/11/2020,Johor,5
14/11/2020,Johor,3
15/11/2020,Johor,22
16/11/2020,Johor,57
17/11/2020,Johor,76
18/11/2020,Johor,85
19/11/2020,Johor,40
20/11/2020,Johor,7
21/11/2020,Johor,15
22/11/2020,Johor,45
23/11/2020,Johor,64
24/11/2020,Johor,90
25/11/2020,Johor,66
26/11/2020,Johor,33
27/11/2020,Johor,9
28/11/2020,Johor,3
29/11/2020,Johor,35
30/11/2020,Johor,83
1/12/2020,Johor,49
2/12/2020,Johor,50
3/12/2020,Johor,29
4/12/2020,Johor,3
5/12/2020,Johor,7
6/12/2020,Johor,40
7/12/2020,Johor,70
8/12/2020,Johor,46
9/12/2020,Johor,33
10/12/2020,Johor,27
11/12/2020,Johor,6
12/12/2020,Johor,7
13/12/2020,Johor,32
14/12/2020,Johor,60
15/12/2020,Johor,55
16/12/2020,Johor,39
17/12/2020,Johor,32
18/12/2020,Johor,3
19/12/2020,Johor,4
20/12/2020,Johor,65
21/12/2020,Johor,67
22/12/2020,Johor,62
23/12/2020,Johor,42
24/12/2020,Johor,16
25/12/2020,Johor,2
26/12/2020,Johor,4
27/12/2020,Johor,7
28/12/2020,Johor,25
29/12/2020,Johor,51
30/12/2020,Johor,23
31/12/2020,Johor,21
1/1/2021,Johor,3
2/1/2021,Johor,1
3/1/2021,Johor,14
4/1/2021,Johor,24
5/1/2021,Johor,39
6/1/2021,Johor,21
7/1/2021,Johor,33
8/1/2021,Johor,7
9/1/2021,Johor,5
10/1/2021,Johor,30
11/1/2021,Johor,57
12/1/2021,Johor,33
13/1/2021,Johor,33
14/1/2021,Johor,26
15/1/2021,Johor,1
16/1/2021,Johor,1
17/1/2021,Johor,31
18/1/2021,Johor,30
19/1/2021,Johor,23
20/1/2021,Johor,39
21/1/2021,Johor,43
22/1/2021,Johor,4
23/1/2021,Johor,0
24/1/2021,Johor,32
25/1/2021,Johor,51
26/1/2021,Johor,28
27/1/2021,Johor,46
28/1/2021,Johor,4
29/1/2021,Johor,3
30/1/2021,Johor,0
31/1/2021,Johor,26
1/2/2021,Johor,63
2/2/2021,Johor,47
3/2/2021,Johor,57
4/2/2021,Johor,23
5/2/2021,Johor,4
6/2/2021,Johor,6
7/2/2021,Johor,27
8/2/2021,Johor,60
9/2/2021,Johor,38
10/2/2021,Johor,34
11/2/2021,Johor,22
12/2/2021,Johor,0
13/2/2021,Johor,0
14/2/2021,Johor,0
15/2/2021,Johor,51
16/2/2021,Johor,57
17/2/2021,Johor,98
18/2/2021,Johor,32
19/2/2021,Johor,4
20/2/2021,Johor,2
21/2/2021,Johor,38
22/2/2021,Johor,58
23/2/2021,Johor,62
24/2/2021,Johor,62
25/2/2021,Johor,29
26/2/2021,Johor,6
27/2/2021,Johor,5
28/2/2021,Johor,38
1/3/2021,Johor,42
2/3/2021,Johor,65
3/3/2021,Johor,54
4/3/2021,Johor,26
5/3/2021,Johor,5
6/3/2021,Johor,3
7/3/2021,Johor,50
8/3/2021,Johor,55
9/3/2021,Johor,62
10/3/2021,Johor,70
11/3/2021,Johor,19
12/3/2021,Johor,10
13/3/2021,Johor,5
14/3/2021,Johor,50
15/3/2021,Johor,50
16/3/2021,Johor,48
17/3/2021,Johor,101
18/3/2021,Johor,26
19/3/2021,Johor,10
20/3/2021,Johor,3
21/3/2021,Johor,52
22/3/2021,Johor,48
23/3/2021,Johor,22
24/3/2021,Johor,35
25/3/2021,Johor,32
26/3/2021,Johor,2
27/3/2021,Johor,2
28/3/2021,Johor,21
29/3/2021,Johor,48
30/3/2021,Johor,37
31/3/2021,Johor,53
1/4/2021,Johor,22
2/4/2021,Johor,27
3/4/2021,Johor,20
4/4/2021,Johor,52
5/4/2021,Johor,55
6/4/2021,Johor,43
7/4/2021,Johor,48
8/4/2021,Johor,36
9/4/2021,Johor,4
10/4/2021,Johor,27
11/4/2021,Johor,63
12/4/2021,Johor,46
13/4/2021,Johor,5
14/4/2021,Johor,58
15/4/2021,Johor,14
16/4/2021,Johor,1
17/4/2021,Johor,3
18/4/2021,Johor,22
19/4/2021,Johor,35
20/4/2021,Johor,23
21/4/2021,Johor,34
22/4/2021,Johor,27
23/4/2021,Johor,1
24/4/2021,Johor,8
25/4/2021,Johor,18
26/4/2021,Johor,33
27/4/2021,Johor,28
28/4/2021,Johor,10
29/4/2021,Johor,10
30/4/2021,Johor,1
1/5/2021,Johor,1
2/5/2021,Johor,17
3/5/2021,Johor,20
4/5/2021,Johor,24
5/5/2021,Johor,25
6/5/2021,Johor,22
7/5/2021,Johor,3
8/5/2021,Johor,2
9/5/2021,Johor,23
10/5/2021,Johor,34
11/5/2021,Johor,13
12/5/2021,Johor,3
13/5/2021,Johor,0
14/5/2021,Johor,1
15/5/2021,Johor,5
16/5/2021,Johor,8
17/5/2021,Johor,18
18/5/2021,Johor,17
19/5/2021,Johor,38
20/5/2021,Johor,30
21/5/2021,Johor,6
22/5/2021,Johor,4
23/5/2021,Johor,56
24/5/2021,Johor,50
25/5/2021,Johor,62
26/5/2021,Johor,3
27/5/2021,Johor,27
28/5/2021,Johor,6
29/5/2021,Johor,1
30/5/2021,Johor,42
31/5/2021,Johor,18
1/6/2021,Johor,19
2/6/2021,Johor,12
3/6/2021,Johor,19
4/6/2021,Johor,3
5/6/2021,Johor,5
6/6/2021,Johor,30
7/6/2021,Johor,2
8/6/2021,Johor,24
9/6/2021,Johor,38
10/6/2021,Johor,26
11/6/2021,Johor,6
12/6/2021,Johor,2
13/6/2021,Johor,42
14/6/2021,Johor,19
15/6/2021,Johor,36
16/6/2021,Johor,51
17/6/2021,Johor,22
18/6/2021,Johor,11
19/6/2021,Johor,6
20/6/2021,Johor,42
21/6/2021,Johor,24
22/6/2021,Johor,31
23/6/2021,Johor,31
24/6/2021,Johor,21
25/6/2021,Johor,9
26/6/2021,Johor,5
27/6/2021,Johor,48
28/6/2021,Johor,38
29/6/2021,Johor,39
30/6/2021,Johor,26
1/7/2021,Johor,44
2/7/2021,Johor,11
3/7/2021,Johor,12
4/7/2021,Johor,25
5/7/2021,Johor,36
6/7/2021,Johor,30
7/7/2021,Johor,24
8/7/2021,Johor,40
9/7/2021,Johor,12
10/7/2021,Johor,5
11/7/2021,Johor,61
12/7/2021,Johor,27
13/7/2021,Johor,21
14/7/2021,Johor,43
15/7/2021,Johor,30
16/7/2021,Johor,5
17/7/2021,Johor,4
18/7/2021,Johor,22
19/7/2021,Johor,26
20/7/2021,Johor,1
21/7/2021,Johor,61
22/7/2021,Johor,24
23/7/2021,Johor,7
24/7/2021,Johor,2
25/7/2021,Johor,30
26/7/2021,Johor,36
27/7/2021,Johor,40
28/7/2021,Johor,46
29/7/2021,Johor,34
30/7/2021,Johor,5
31/7/2021,Johor,3
1/8/2021,Johor,47
2/8/2021,Johor,37
3/8/2021,Johor,45
4/8/2021,Johor,34
5/8/2021,Johor,30
6/8/2021,Johor,0
7/8/2021,Johor,5
8/8/2021,Johor,22
9/8/2021,Johor,32
10/8/2021,Johor,4
11/8/2021,Johor,29
12/8/2021,Johor,25
13/8/2021,Johor,4
14/8/2021,Johor,5
15/8/2021,Johor,21
16/8/2021,Johor,23
17/8/2021,Johor,23
18/8/2021,Johor,45
19/8/2021,Johor,18
20/8/2021,Johor,3
21/8/2021,Johor,1
22/8/2021,Johor,31
23/8/2021,Johor,23
24/8/2021,Johor,23
25/8/2021,Johor,29
26/8/2021,Johor,16
27/8/2021,Johor,6
28/8/2021,Johor,2
29/8/2021,Johor,17
30/8/2021,Johor,42
31/8/2021,Johor,2
1/9/2021,Johor,24
2/9/2021,Johor,17
3/9/2021,Johor,6
4/9/2021,Johor,0
5/9/2021,Johor,23
6/9/2021,Johor,27
7/9/2021,Johor,29
8/9/2021,Johor,22
9/9/2021,Johor,29
10/9/2021,Johor,2
11/9/2021,Johor,1
12/9/2021,Johor,23
13/9/2021,Johor,6
14/9/2021,Johor,21
15/9/2021,Johor,40
16/9/2021,Johor,5
17/9/2021,Johor,6
18/9/2021,Johor,2
19/9/2021,Johor,21
20/9/2021,Johor,31
21/9/2021,Johor,18
22/9/2021,Johor,33
23/9/2021,Johor,30
24/9/2021,Johor,0
25/9/2021,Johor,6
26/9/2021,Johor,39
27/9/2021,Johor,38
28/9/2021,Johor,15
29/9/2021,Johor,46
30/9/2021,Johor,22
1/10/2021,Johor,5
2/10/2021,Johor,2
3/10/2021,Johor,15
4/10/2021,Johor,20
5/10/2021,Johor,25
6/10/2021,Johor,33
7/10/2021,Johor,23
8/10/2021,Johor,4
9/10/2021,Johor,4
10/10/2021,Johor,30
11/10/2021,Johor,23
12/10/2021,Johor,21
13/10/2021,Johor,23
14/10/2021,Johor,34
15/10/2021,Johor,7
16/10/2021,Johor,7
17/10/2021,Johor,12
18/10/2021,Johor,38
19/10/2021,Johor,4
20/10/2021,Johor,27
21/10/2021,Johor,25
22/10/2021,Johor,8
23/10/2021,Johor,9
24/10/2021,Johor,23
25/10/2021,Johor,18
26/10/2021,Johor,26
27/10/2021,Johor,32
28/10/2021,Johor,17
29/10/2021,Johor,7
30/10/2021,Johor,8
31/10/2021,Johor,15
1/11/2021,Johor,25
2/11/2021,Johor,30
3/11/2021,Johor,14
4/11/2021,Johor,2
5/11/2021,Johor,4
6/11/2021,Johor,4
7/11/2021,Johor,16
8/11/2021,Johor,32
9/11/2021,Johor,18
10/11/2021,Johor,27
11/11/2021,Johor,11
12/11/2021,Johor,3
13/11/2021,Johor,1
14/11/2021,Johor,22
15/11/2021,Johor,28
16/11/2021,Johor,39
17/11/2021,Johor,17
18/11/2021,Johor,31
19/11/2021,Johor,8
20/11/2021,Johor,6
21/11/2021,Johor,17
22/11/2021,Johor,24
23/11/2021,Johor,20
24/11/2021,Johor,17
25/11/2021,Johor,23
26/11/2021,Johor,9
27/11/2021,Johor,9
28/11/2021,Johor,15
29/11/2021,Johor,40
30/11/2021,Johor,30
1/12/2021,Johor,26
2/12/2021,Johor,19
3/12/2021,Johor,3
4/12/2021,Johor,6
5/12/2021,Johor,11
6/12/2021,Johor,29
7/12/2021,Johor,34
8/12/2021,Johor,37
9/12/2021,Johor,15
10/12/2021,Johor,16
11/12/2021,Johor,1
12/12/2021,Johor,18
13/12/2021,Johor,32
14/12/2021,Johor,33
15/12/2021,Johor,24
16/12/2021,Johor,43
17/12/2021,Johor,10
18/12/2021,Johor,5
19/12/2021,Johor,17
20/12/2021,Johor,23
21/12/2021,Johor,27
22/12/2021,Johor,32
23/12/2021,Johor,19
24/12/2021,Johor,10
25/12/2021,Johor,1
26/12/2021,Johor,13
27/12/2021,Johor,34
28/12/2021,Johor,27
29/12/2021,Johor,33
30/12/2021,Johor,27
31/12/2021,Johor,14
1/1/2022,Johor,1
2/1/2022,Johor,11
3/1/2022,Johor,21
4/1/2022,Johor,36
5/1/2022,Johor,38
6/1/2022,Johor,28
7/1/2022,Johor,8
8/1/2022,Johor,10
9/1/2022,Johor,21
10/1/2022,Johor,22
11/1/2022,Johor,46
12/1/2022,Johor,40
13/1/2022,Johor,30
14/1/2022,Johor,5
15/1/2022,Johor,4
16/1/2022,Johor,19
17/1/2022,Johor,30
18/1/2022,Johor,0
19/1/2022,Johor,35
20/1/2022,Johor,30
21/1/2022,Johor,4
22/1/2022,Johor,3
23/1/2022,Johor,16
24/1/2022,Johor,34
25/1/2022,Johor,25
26/1/2022,Johor,48
27/1/2022,Johor,22
28/1/2022,Johor,10
29/1/2022,Johor,1
30/1/2022,Johor,9
31/1/2022,Johor,9
1/2/2022,Johor,2
2/2/2022,Johor,0
3/2/2022,Johor,15
4/2/2022,Johor,5
5/2/2022,Johor,1
6/2/2022,Johor,17
7/2/2022,Johor,32
8/2/2022,Johor,35
9/2/2022,Johor,35
10/2/2022,Johor,62
11/2/2022,Johor,22
12/2/2022,Johor,7
13/2/2022,Johor,25
14/2/2022,Johor,35
15/2/2022,Johor,24
16/2/2022,Johor,39
17/2/2022,Johor,27
18/2/2022,Johor,28
19/2/2022,Johor,22
20/2/2022,Johor,44
21/2/2022,Johor,39
22/2/2022,Johor,74
23/2/2022,Johor,51
24/2/2022,Johor,67
25/2/2022,Johor,46
26/2/2022,Johor,24
27/2/2022,Johor,33
28/2/2022,Johor,72
1/3/2022,Johor,35
2/3/2022,Johor,47
3/3/2022,Johor,39
4/3/2022,Johor,21
5/3/2022,Johor,39
6/3/2022,Johor,42
7/3/2022,Johor,36
8/3/2022,Johor,29
9/3/2022,Johor,109
10/3/2022,Johor,93
11/3/2022,Johor,81
12/3/2022,Johor,87
13/3/2022,Johor,147
14/3/2022,Johor,113
15/3/2022,Johor,120
16/3/2022,Johor,99
17/3/2022,Johor,86
18/3/2022,Johor,110
19/3/2022,Johor,137
20/3/2022,Johor,214
21/3/2022,Johor,94
22/3/2022,Johor,148
23/3/2022,Johor,152
24/3/2022,Johor,197
25/3/2022,Johor,174
